(151, 8)
(151, 8)
(34, 8)
Number of label: 8
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C


['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
